CustomerID,Title,FirstName,MiddleName,LastName,Suffix,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AveMonthSpend,BikeBuyer
14208,,Eugene,A,Xu,,1773 Lafayette Street,,Gloucestershire,England,United Kingdom,GL7 1RY,1 (11) 500 555-0154,8/22/1947,High School,Management,M,S,1,4,5,5,168423,146,1
18034,,Ethan,J,Robinson,,Celler Weg 5,,Paderborn,Nordrhein-Westfalen,Germany,33098,1 (11) 500 555-0160,3/23/1912,High School,Manual,M,M,0,2,0,4,18776,29,0
11006,,Janet,G,Alvarez,,2612 Berry Dr,,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0184,12/6/1965,Bachelors ,Professional,F,S,1,1,0,0,84756,54,1
13887,,Nathan,K,Scott,,4775 Imperial Dr.,,Spring Valley,California,United States,91977,932-555-0110,10/12/1970,Graduate Degree,Professional,M,M,1,0,0,2,137162,90,0
26629,,Miranda,,Price,,9397 N. 8th Street,,Metchosin,British Columbia,Canada,V9,367-555-0196,2/6/1960,Partial College,Skilled Manual,F,M,1,1,0,1,58375,49,0
16713,,Tony,L,Nara,,7922 Rock Island Drive,,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0115,11/6/1953,Bachelors ,Management,M,M,1,1,0,2,81307,81,0
13494,,Byron,K,Gutierrez,,Karl Liebknecht str 399,,Braunschweig,Nordrhein-Westfalen,Germany,38001,1 (11) 500 555-0126,3/5/1962,Graduate Degree,Manual,M,S,1,0,0,1,45074,65,1
26646,,Jordyn,,Perry,,6788 Edward Ave,,Oakland,California,United States,94611,331-555-0195,10/22/1958,Bachelors ,Professional,F,S,1,1,0,1,76069,47,1
18134,,Melody,,Romero,,Hunzinger Allee 292,,Hof,Bayern,Germany,95010,1 (11) 500 555-0168,1/26/1956,High School,Professional,F,M,1,4,4,4,118081,93,0
14989,,Shawna,R,She,,"28, quai de Grenelle",,Morangis,Essonne,France,91420,1 (11) 500 555-0176,6/23/1976,High School,Manual,F,S,0,1,0,0,23089,35,1
23247,,Alexander,,Garcia,,4914 Clayton Rd.,,Beverly Hills,California,United States,90210,764-555-0134,5/21/1966,Graduate Degree,Skilled Manual,M,S,0,0,0,0,107047,74,0
13980,,Margaret,R,Liu,,5927 Diokmo Ct.,,Beverly Hills,California,United States,90210,154-555-0120,9/18/1979,Partial College,Skilled Manual,F,S,1,1,0,0,41008,39,1
17799,,Alejandro,,Guo,,Heidestieg Straße 8224,,Ingolstadt,Bayern,Germany,85049,1 (11) 500 555-0181,4/2/1965,High School,Manual,M,S,1,0,2,2,21326,80,1
13299,,Vanessa,,Ross,,5661 Elkwood Drive,,Palo Alto,California,United States,94303,292-555-0183,10/15/1961,Bachelors ,Management,F,M,1,3,3,3,131808,88,0
23188,,Austin,M,Jai,,8065 Shakespeare Drive,,Port Orchard,Washington,United States,98366,578-555-0160,2/19/1969,Graduate Degree,Professional,M,S,1,2,5,5,106090,144,1
20885,,Terry,,Xie,,9212 Tupelo Drive,,Liverpool,England,United Kingdom,L4 4HB,1 (11) 500 555-0176,9/15/1967,Bachelors ,Clerical,M,S,0,0,1,1,59322,79,1
28298,,Maria,G,Edwards,,565 Oeffler Ln.,,Lemon Grove,California,United States,91945,809-555-0163,8/22/1953,Graduate Degree,Management,F,M,1,2,0,3,89912,45,0
19222,,Jordan,E,Hall,,6228 Geary Court,,Yakima,Washington,United States,98901,137-555-0144,2/20/1957,High School,Skilled Manual,M,M,1,2,0,2,39332,66,0
14206,,Edwin,,West,,Brunnenstr 876,,Kassel,Hessen,Germany,34117,1 (11) 500 555-0158,7/6/1947,Partial High School,Professional,M,M,0,1,5,5,106547,151,1
12131,,Randall,M,Dominguez,,"244, rue des Rosiers",,Dunkerque,Nord,France,59140,1 (11) 500 555-0136,10/17/1955,High School,Professional,M,M,0,2,1,2,120163,99,1
29432,,Gabrielle,E,Roberts,,2657 Honey Trail Lane,,Leeds,England,United Kingdom,LE18,1 (11) 500 555-0144,7/8/1975,Bachelors ,Skilled Manual,F,M,1,0,1,1,56127,59,0
25870,,Edward,M,Gonzales,,8474 Haynes Court,,Lebanon,Oregon,United States,97355,347-555-0116,10/2/1947,High School,Professional,M,M,1,2,1,2,78967,83,0
25871,,Jason,R,Nelson,,8537 Bayview Circle,,Issaquah,Washington,United States,98027,853-555-0127,6/23/1947,High School,Professional,M,S,1,2,1,2,63956,73,0
20881,,Wendy,C,Navarro,,689 Kalima Place,,Bury,England,United Kingdom,PE17,1 (11) 500 555-0128,6/7/1967,Partial College,Manual,F,S,0,1,1,1,16233,43,0
16837,,Elizabeth,K,Jackson,,3494 Jamie Way,,Langford,British Columbia,Canada,V9,363-555-0162,10/23/1965,Partial College,Professional,F,M,1,3,4,4,111758,95,1
21571,,Darryl,K,Yang,,1490 Marina Pkwy.,,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0125,4/25/1970,High School,Management,M,M,1,4,5,5,155165,173,1
18218,,Thomas,R,Powell,,6051 Bellows Ct,,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0145,8/6/1970,High School,Management,M,M,0,4,5,5,165034,167,1
12524,,Kate,,Shan,,"312, rue Villedo",,Les Ulis,Essonne,France,91940,1 (11) 500 555-0191,1/24/1975,Partial College,Clerical,F,S,1,1,0,0,52163,44,1
14482,,Noah,,Perez,,4340 Ohara Ct,,Corvallis,Oregon,United States,97330,667-555-0116,7/22/1960,High School,Professional,M,M,1,3,3,4,127502,140,1
11838,,Justin,J,Rodriguez,,761 Orchard View Ave.,,Beaverton,Oregon,United States,97005,211-555-0112,2/9/1965,Bachelors ,Skilled Manual,M,S,0,2,3,3,124256,121,1
28772,,Eric,,Hughes,,6645 Sunshine,,W. Linn,Oregon,United States,97068,504-555-0114,4/27/1954,High School,Clerical,M,M,1,1,0,1,54889,74,0
13619,,Arturo,,Xu,,6111 Guadalajara,,Rhodes,New South Wales,Australia,2138,1 (11) 500 555-0173,5/11/1976,Bachelors ,Professional,M,M,1,3,0,0,96893,80,0
21063,,Louis,,Li,,"88, impasse Notre-Dame",,Roncq,Nord,France,59223,1 (11) 500 555-0129,4/23/1966,Partial High School,Manual,M,M,0,2,4,5,27795,111,1
15955,,Neil,M,Ortega,,3498 Santa Maria,,Burlingame,California,United States,94010,908-555-0133,11/17/1963,Bachelors ,Management,M,M,1,4,2,4,157762,123,1
22872,,Sara,F,Bailey,,4245 Gregory Lane,,Burien,Washington,United States,98168,794-555-0117,6/26/1962,Partial College,Skilled Manual,F,M,1,1,0,1,91582,55,0
13223,,Noah,,Lee,,3712 Kirker Pass Road,,Imperial Beach,California,United States,91932,610-555-0123,7/9/1946,Bachelors ,Management,M,S,1,1,1,4,108313,80,1
21517,,Gerald,,Subram,,9067 Indigo Ct.,,London,England,United Kingdom,W1Y 3RA,1 (11) 500 555-0143,10/17/1944,Graduate Degree,Management,M,M,1,2,4,4,183613,142,1
12025,,Logan,A,Diaz,,297 Mt. Tank Circle,,Lake Oswego,Oregon,United States,97034,965-555-0113,6/18/1978,High School,Skilled Manual,M,M,1,2,0,0,56598,73,1
11753,,Felicia,J,Ortega,,452 Rain Drop Circle,,Coffs Harbour,New South Wales,Australia,2450,1 (11) 500 555-0185,3/18/1970,Graduate Degree,Management,F,M,1,1,4,4,124501,93,1
23015,,Juan,L,Rivera,,8117 Green View Court,,Colma,California,United States,94014,953-555-0142,2/8/1971,Graduate Degree,Skilled Manual,M,M,1,0,1,1,109710,97,0
15914,,Logan,A,Bryant,,4569 La Salle Ct.,,Puyallup,Washington,United States,98371,206-555-0173,8/22/1952,Partial College,Professional,M,S,1,2,2,4,100560,101,1
24170,,Jaime,,Hernandez,,6325 Entrada Circle,,Findon,South Australia,Australia,5023,1 (11) 500 555-0126,10/24/1976,High School,Manual,F,S,1,0,1,1,21734,41,0
15185,,Jonathan,D,Evans,,2708 Stephanie Way,,Sunbury,Victoria,Australia,3429,1 (11) 500 555-0118,8/10/1958,Graduate Degree,Management,M,M,1,1,1,1,179645,110,0
22169,,Jenny,B,Li,,251 Steven Circle,,Melbourne,Victoria,Australia,3000,1 (11) 500 555-0196,12/13/1950,Partial High School,Clerical,F,M,1,2,1,2,22777,50,0
16205,,Melanie,,Sanders,,"911bis, rue des Peupliers",,Paris,Seine (Paris),France,75007,1 (11) 500 555-0157,4/1/1971,Partial College,Clerical,F,S,1,1,2,2,44078,52,1
18302,,Wayne,S,Xie,,6529 Buena Vista,,Cranbourne,Victoria,Australia,3977,1 (11) 500 555-0143,8/27/1958,Bachelors ,Management,M,S,0,1,0,2,133253,83,1
19986,,Jamie,,Huang,,312 Via Del Verdes,,Colma,California,United States,94014,410-555-0145,7/13/1969,Bachelors ,Skilled Manual,F,S,1,0,2,2,39008,58,1
12942,,Morgan,,Harris,,7384 Ironwood Drive.,,Downey,California,United States,90241,667-555-0172,11/15/1965,Bachelors ,Skilled Manual,F,S,1,2,3,3,93730,76,1
29147,,Mary,S,Roberts,,3043 Rock Creek Pl.,,Marysville,Washington,United States,98270,559-555-0110,2/14/1961,High School,Skilled Manual,F,S,0,2,2,4,43177,56,0
14551,,Michele,C,Vance,,Kappellweg 242,,Kiel,Saarland,Germany,24044,1 (11) 500 555-0192,10/24/1937,Bachelors ,Clerical,F,M,1,0,0,1,22341,42,0
27214,,Bianca,A,Zimmerman,,5834 Vine Circle,,Beverly Hills,California,United States,90210,679-555-0113,6/3/1956,Partial High School,Clerical,F,M,0,2,0,3,21996,43,0
14466,,Logan,,Adams,,485 Ash Lane,,Oregon City,Oregon,United States,97045,696-555-0130,2/21/1961,High School,Professional,M,M,1,1,3,4,127887,138,1
20489,,Jacob,F,Davis,,1619 Stillman Court,,Lynnwood,Washington,United States,98036,629-555-0119,10/8/1942,Bachelors ,Management,M,S,1,2,0,5,113062,74,1
17743,,Gerald,,Gomez,,5900 May Rd,,London,England,United Kingdom,SW8 1XD,1 (11) 500 555-0132,9/14/1961,Graduate Degree,Clerical,M,S,1,0,0,3,58185,69,1
17163,,Edward,,Adams,,9108 San Miguel Drive,,Berkeley,California,United States,94704,947-555-0187,8/23/1950,Partial College,Professional,M,M,1,1,1,2,95155,96,0
18974,,James,J,Rodriguez,,2987 Turner Dr.,,La Jolla,California,United States,92806,782-555-0113,5/26/1943,Bachelors ,Management,M,M,1,2,0,5,126218,83,0
18247,,Donna,J,Beck,,508 Somerset Place,,Melbourne,Victoria,Australia,3000,1 (11) 500 555-0154,2/14/1968,Bachelors ,Professional,F,M,1,3,5,5,79613,95,1
25668,,Carolyn,L,Lopez,,1555 Running Springs Rd.,,Bury,England,United Kingdom,PE17,1 (11) 500 555-0135,9/25/1977,Partial College,Clerical,F,S,1,1,0,0,55083,41,0
19939,,Alvin,,Wang,,658 Pecan Street,,Stoke-on-Trent,England,United Kingdom,AS23,1 (11) 500 555-0112,8/5/1950,Partial College,Management,M,M,1,3,5,5,175123,169,1
13058,,Ramon,,Huang,,623 Chestnut Ave,,Chula Vista,California,United States,91910,144-555-0194,8/16/1975,High School,Skilled Manual,M,M,1,2,0,0,48893,67,0
11797,,Devin,R,Coleman,,4143 Heather Pl.,,Oakland,California,United States,94611,792-555-0157,3/7/1969,Bachelors ,Skilled Manual,M,S,1,0,2,2,58124,92,1
16567,,Erick,A,Lopez,,Erftplatz 6,,Saarlouis,Saarland,Germany,66740,1 (11) 500 555-0188,9/10/1969,Graduate Degree,Skilled Manual,M,S,1,0,0,0,68077,68,1
12034,,Julian,,Long,,9707 Daffodil Drive,,Cranbourne,Victoria,Australia,3977,1 (11) 500 555-0143,3/14/1941,Bachelors ,Management,M,M,1,2,0,2,54859,66,0
21515,,Barbara,,Yuan,,3402 Wawona Lane,,Bracknell,England,United Kingdom,RG12 8TB,1 (11) 500 555-0125,2/14/1944,Bachelors ,Management,F,M,1,3,4,4,136107,90,0
13211,,James,J,Jai,,8629 Partridge Dr,,Beaverton,Oregon,United States,97005,192-555-0122,12/12/1945,Bachelors ,Management,M,M,1,2,0,4,109626,77,0
11495,,Francis,,Jimenez,,Curieweg 3991,,Bonn,Nordrhein-Westfalen,Germany,53131,1 (11) 500 555-0143,9/4/1971,Partial College,Clerical,M,S,1,1,2,2,52156,91,1
18906,,Adrienne,,Gutierrez,,8857 Sunshine,,Perth,South Australia,Australia,6006,1 (11) 500 555-0110,4/13/1952,High School,Skilled Manual,F,S,1,2,0,3,47054,48,1
26340,,Melissa,A,Morris,,4838 Fish Dr.,,Olympia,Washington,United States,98501,768-555-0114,3/20/1969,Graduate Degree,Professional,F,M,1,2,5,5,91216,94,0
26432,,Isabel,H,Simmons,,5717 Monterey Ave,,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0192,11/21/1975,Bachelors ,Professional,F,M,1,3,0,0,114895,52,0
12105,,Abigail,R,Foster,,9849 Santa Fe Court,,Woodland Hills,California,United States,91364,156-555-0118,5/16/1949,Partial College,Professional,F,S,1,2,1,5,80681,53,0
26194,,Miguel,T,Brown,,6937 E. 42nd Street,,Downey,California,United States,90241,206-555-0114,12/11/1976,Partial College,Skilled Manual,M,S,1,1,0,0,48647,62,0
12671,,Alan,A,Huang,,6660 Poppy Circle,,Rockhampton,Queensland,Australia,4700,1 (11) 500 555-0122,2/11/1974,Bachelors ,Professional,M,S,0,3,0,0,71607,76,0
22811,,Brent,,Stone,,7578 Sierra Road,,Gloucestershire,England,United Kingdom,GL7 1RY,1 (11) 500 555-0135,6/16/1945,Bachelors ,Management,M,M,1,4,4,4,163032,146,0
12817,,Theodore,,Suarez,,"336, rue des Rosiers",,Paris,Seine (Paris),France,75005,1 (11) 500 555-0123,2/9/1966,Partial High School,Manual,M,S,1,2,4,5,30722,109,1
19233,,Omar,L,Andersen,,5578 Barbie Dr,,Burlingame,California,United States,94010,201-555-0147,5/6/1959,Graduate Degree,Skilled Manual,M,M,1,0,0,4,105528,80,0
17987,,Cara,E,Sun,,"775, rue de Courtaboeuf",,Paris,Seine (Paris),France,75013,1 (11) 500 555-0137,5/6/1966,Bachelors ,Clerical,F,M,1,1,1,1,46527,60,0
21234,,Brianna,A,Rivera,,1061 Buskrik Avenue,,Coronado,California,United States,92118,149-555-0123,1/12/1976,High School,Skilled Manual,F,S,1,2,0,0,31892,41,1
23311,,Veronica,C,Gonzalez,,8518 Bayberry Dr.,,Findon,South Australia,Australia,5023,1 (11) 500 555-0162,7/12/1946,Bachelors ,Management,F,M,1,2,0,2,62636,46,0
23011,,Isaiah,K,Rivera,,8562 Veale Ave.,,Berkeley,California,United States,94704,689-555-0164,4/1/1978,Partial College,Skilled Manual,M,M,1,1,0,0,28110,67,0
21737,,Timothy,A,Rivera,,"4, quai de Grenelle",,Saint-Denis,Seine Saint Denis,France,93400,1 (11) 500 555-0197,8/19/1962,Graduate Degree,Manual,M,S,1,0,0,1,39630,66,0
21288,,Hunter,,Hall,,7724 Hale Court,,Palo Alto,California,United States,94303,366-555-0178,6/13/1963,Bachelors ,Management,M,S,0,4,2,3,184286,115,1
14240,,Caroline,,Foster,,4485 Laurel,,Kirkland,Washington,United States,98033,693-555-0161,6/18/1941,Bachelors ,Management,F,M,0,2,0,4,104621,44,0
24039,,Cassie,,Xu,,"524, rue Villedo",,Orly,Val de Marne,France,94310,1 (11) 500 555-0191,4/13/1969,Graduate Degree,Clerical,F,M,0,0,0,0,65384,50,0
16839,,Julia,F,Ross,,5518 San Rafael,,West Covina,California,United States,91791,716-555-0194,6/19/1965,Graduate Degree,Management,F,M,1,2,0,0,143874,61,1
13475,,Charles,,Allen,,4635 Woodside Court,,Redwood City,California,United States,94063,578-555-0118,5/5/1954,Partial High School,Skilled Manual,M,M,1,2,0,2,75973,75,0
12826,,Caleb,,Gonzalez,,Buergermeister-ulrich-str 2,,Kassel,Hessen,Germany,34117,1 (11) 500 555-0191,7/7/1965,Partial High School,Manual,M,S,1,2,3,5,21836,85,1
23256,,Mario,P,Chande,,3243 Juniper Dr.,,Bellflower,California,United States,90706,587-555-0114,8/4/1954,High School,Clerical,M,S,0,1,0,1,44536,61,0
15064,,Erik,C,Rubio,,"4313, rue de Linois",,Paris,Seine (Paris),France,75019,1 (11) 500 555-0143,8/3/1960,Bachelors ,Clerical,M,M,1,0,0,3,59239,77,1
18930,,Katelyn,,Richardson,,5493 Gonzalez Ct,Unit C,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0155,10/17/1955,High School,Skilled Manual,F,S,0,2,0,2,99770,53,1
13957,,Meredith,,Munoz,,5592 Eagle Peak Ave.,,Caloundra,Queensland,Australia,4551,1 (11) 500 555-0122,11/28/1967,Bachelors ,Professional,F,S,1,1,2,2,77521,61,1
11879,,Edgar,,Sai,,9037 Saddlehill Lane,,Beaverton,Oregon,United States,97005,525-555-0117,10/3/1960,Partial College,Skilled Manual,M,M,1,1,0,1,79554,77,1
26527,,Oscar,,Hayes,,5897 Scottsdale Rd.,,Burnaby,British Columbia,Canada,V3J 6Z3,150-555-0146,9/9/1952,Partial High School,Skilled Manual,M,M,1,2,1,2,84865,93,0
11901,,Stacy,,Alvarez,,3917 Catalpa Court,,Darlinghurst,New South Wales,Australia,2010,1 (11) 500 555-0171,2/19/1968,Bachelors ,Professional,F,S,0,1,2,2,83263,70,1
17726,,Caroline,,Griffin,,5126 La Corte Bonita,,Melton,Victoria,Australia,3337,1 (11) 500 555-0117,9/20/1980,Partial College,Manual,F,S,1,1,0,0,22025,41,0
19609,,Kari,,Martinez,,3416 Ravenwood Drive,,Geelong,Victoria,Australia,3220,1 (11) 500 555-0117,6/22/1964,Bachelors ,Professional,F,S,0,1,0,0,77509,48,0
15771,,Maria,A,Diaz,,2613 West I St.,,Lebanon,Oregon,United States,97355,400-555-0178,1/23/1958,Graduate Degree,Management,F,M,1,4,1,1,159093,69,0
17331,,Keith,,Stone,,7026 Hooftrail Way,,South Melbourne,Victoria,Australia,3205,1 (11) 500 555-0139,1/6/1962,Partial College,Skilled Manual,M,M,0,2,4,5,94956,142,1
16175,,Tony,M,Shan,,1657 Almond Avenue,,Silverwater,New South Wales,Australia,2264,1 (11) 500 555-0139,9/5/1965,Bachelors ,Professional,M,S,0,1,3,3,111157,113,1
23653,,Devin,,Campbell,,4746 Clear Court,# 45,Sunbury,Victoria,Australia,3429,1 (11) 500 555-0124,10/21/1973,High School,Management,M,S,1,2,5,5,121353,145,1
18157,,Isabella,,Hall,,Bundesallee 4422,,Frankfurt,Hessen,Germany,60323,1 (11) 500 555-0181,3/6/1953,Partial College,Professional,F,S,1,1,2,3,94352,70,0
16850,,Jessica,,Jenkins,,3281 Ana Mile,,Spokane,Washington,United States,99202,433-555-0119,10/2/1963,Partial College,Professional,F,S,0,2,0,0,100206,53,0
22579,,Kara,,Lal,,7340 Pine Creek Way,,Port Macquarie,New South Wales,Australia,2444,1 (11) 500 555-0174,4/17/1976,High School,Manual,F,S,0,0,1,1,22108,46,1
25465,,Mariah,,Diaz,,664 Book Pl,,Watford,England,United Kingdom,WA3,1 (11) 500 555-0163,2/8/1966,High School,Manual,F,M,1,0,2,2,24104,62,0
17402,,Bryce,,Rogers,,4252 Ofarrell Dr.,,Langford,British Columbia,Canada,V9,184-555-0158,11/12/1956,Partial College,Professional,M,M,1,0,2,3,126234,114,0
13162,,Nina,,Nath,,4101 Buckthorn Court,,Concord,California,United States,94519,537-555-0125,4/22/1976,Partial College,Skilled Manual,F,S,1,1,0,0,40836,45,0
11897,,Orlando,I,Ashe,,9478 Rheem Dr.,,South Melbourne,Victoria,Australia,3205,1 (11) 500 555-0184,11/28/1968,Bachelors ,Professional,M,S,0,1,2,2,101654,101,1
18397,,Louis,S,Anand,,1256 American Beauty Dr,,Byron,Georgia,United States,31008,397-555-0169,6/12/1962,Partial College,Professional,M,M,1,4,2,3,119649,112,1
19989,,Ethan,,Thompson,,8452 Green Street,,Vancouver,British Columbia,Canada,V7L 4J4,450-555-0194,1/13/1971,Graduate Degree,Professional,M,M,1,0,0,1,115313,80,1
20604,,Harold,J,Martinez,,4302 Oakleaf Ct.,,Hobart,Tasmania,Australia,7001,1 (11) 500 555-0159,4/13/1974,Bachelors ,Professional,M,S,0,4,0,0,105926,74,1
25022,,Patricia,,Perez,,6948 Midway Ct,,Sydney,New South Wales,Australia,1002,1 (11) 500 555-0125,9/13/1951,Partial High School,Clerical,F,M,1,2,1,2,23182,53,0
21528,,Jay,J,Moreno,,Zollstr 2,,Paderborn,Hamburg,Germany,33041,1 (11) 500 555-0141,5/6/1954,Partial College,Professional,M,M,1,4,4,4,169706,152,1
24123,,Heather,,Hu,,"77, quai de l´ Iton",,Drancy,Seine Saint Denis,France,93700,1 (11) 500 555-0193,5/3/1976,High School,Manual,F,S,0,1,0,0,13414,36,0
17945,,Julio,,Rubio,,Wertheimer Straße 899,,Frankfurt,Hessen,Germany,60323,1 (11) 500 555-0173,3/5/1958,Graduate Degree,Clerical,M,M,1,0,0,1,70214,80,0
20702,,Oscar,V,Ross,,7104 Roland Ct.,,Oakland,California,United States,94611,176-555-0134,9/8/1963,Bachelors ,Skilled Manual,M,S,0,2,2,4,96341,107,1
11159,,Brianna,A,Hughes,,6793 Bonifacio St.,,Woodland Hills,California,United States,91364,319-555-0183,9/17/1975,High School,Skilled Manual,F,S,0,2,0,0,32033,40,0
20476,,Destiny,,Long,,1278 Holly Oak Drive,,San Gabriel,California,United States,91776,524-555-0157,9/6/1965,Graduate Degree,Management,F,S,0,1,2,2,161628,74,0
14465,,Dakota,M,Patterson,,9274 Dayton Court,,Lake Oswego,Oregon,United States,97034,922-555-0147,2/21/1961,High School,Professional,M,M,1,1,3,4,126303,135,1
18605,,David,,Wright,,6425 Adelia Court,,Burien,Washington,United States,98168,544-555-0144,11/16/1964,Bachelors ,Skilled Manual,M,S,1,2,2,4,100082,106,1
28286,,Destiny,,Alexander,,6097 Mt. McKinley Ct.,,Redmond,Washington,United States,98052,683-555-0113,2/25/1960,Partial College,Professional,F,M,0,1,3,3,93339,83,0
27510,,Cole,Q,Bailey,,6253 Panorama Dr.,,Burlingame,California,United States,94010,350-555-0145,10/3/1976,Partial College,Professional,M,S,0,2,0,0,86892,70,0
22166,,Katherine,,Gray,,4524 Ferndale Lane,,Yakima,Washington,United States,98901,649-555-0191,8/28/1976,Partial College,Skilled Manual,F,S,0,2,0,0,63292,44,0
